flood_id,dateTimeMin,dateTimeMax,dateTimeMed,maxWaterLevel,meanWaterLevel,flood_time_hours
2,2000-09-15T10:06:00Z,2000-09-15T11:30:00Z,2000-09-15T10:48:00Z,0.321,0.3072,1.4
3,2000-10-18T00:36:00Z,2000-10-18T01:54:00Z,2000-10-18T01:15:00Z,0.311,0.30207142857142855,1.3
4,2000-11-26T20:36:00Z,2000-11-26T23:00:00Z,2000-11-26T21:48:00Z,0.327,0.31124,2.4
6,2001-03-09T08:54:00Z,2001-03-09T09:30:00Z,2001-03-09T09:12:00Z,0.305,0.297,0.6
7,2001-05-26T10:54:00Z,2001-05-26T14:00:00Z,2001-05-26T12:27:00Z,0.359,0.32609375,3.1
8,2001-06-23T10:18:00Z,2001-06-23T12:00:00Z,2001-06-23T11:09:00Z,0.313,0.3016111111111111,1.7
9,2001-07-21T09:12:00Z,2001-07-21T11:18:00Z,2001-07-21T10:15:00Z,0.325,0.3114090909090909,2.1
10,2001-07-28T02:48:00Z,2001-07-28T05:54:00Z,2001-07-28T04:21:00Z,0.333,0.31521875,3.1
11,2001-08-17T08:18:00Z,2001-08-17T09:00:00Z,2001-08-17T08:39:00Z,0.294,0.292375,0.7
12,2001-09-16T06:48:00Z,2001-09-16T10:30:00Z,2001-09-16T08:39:00Z,0.359,0.3338157894736842,3.6999999999999997
13,2001-09-17T09:18:00Z,2001-09-17T09:48:00Z,2001-09-17T09:33:00Z,0.293,0.29133333333333333,0.5
14,2001-09-20T22:48:00Z,2001-09-21T03:18:00Z,2001-09-21T01:03:00Z,0.393,0.35778260869565215,4.5
15,2001-09-25T01:48:00Z,2001-09-25T08:24:00Z,2001-09-25T05:06:00Z,0.47,0.40259701492537314,6.6
16,2001-10-01T20:36:00Z,2001-10-01T23:00:00Z,2001-10-01T21:48:00Z,0.318,0.30591999999999997,2.4
17,2001-10-02T05:48:00Z,2001-10-02T13:18:00Z,2001-10-02T09:33:00Z,0.494,0.41248684210526315,7.5
18,2001-10-15T05:54:00Z,2001-10-15T09:00:00Z,2001-10-15T07:27:00Z,0.34,0.32571875,3.1
19,2002-04-25T18:48:00Z,2002-04-25T18:54:00Z,2002-04-25T18:51:00Z,0.294,0.294,0.1
20,2002-06-08T17:30:00Z,2002-06-08T20:30:00Z,2002-06-08T19:00:00Z,0.319,0.30816129032258066,3
21,2002-06-09T07:42:00Z,2002-06-09T10:12:00Z,2002-06-09T08:57:00Z,0.331,0.3150769230769231,2.5
22,2002-06-14T09:48:00Z,2002-06-14T14:54:00Z,2002-06-14T12:21:00Z,0.407,0.3626923076923077,5.1
23,2002-09-26T23:36:00Z,2002-09-27T04:06:00Z,2002-09-27T01:51:00Z,0.367,0.33643478260869564,4.5
24,2002-09-27T10:48:00Z,2002-09-27T14:12:00Z,2002-09-27T12:30:00Z,0.333,0.31734285714285715,3.4
25,2002-09-27T22:06:00Z,2002-09-28T06:30:00Z,2002-09-28T02:18:00Z,0.481,0.40910588235294115,8.4
26,2002-10-05T06:18:00Z,2002-10-05T11:42:00Z,2002-10-05T09:00:00Z,0.427,0.3800181818181818,5.4
27,2002-10-12T01:30:00Z,2002-10-12T04:48:00Z,2002-10-12T03:09:00Z,0.344,0.3276764705882353,3.3
28,2002-10-14T01:42:00Z,2002-10-14T05:48:00Z,2002-10-14T03:45:00Z,0.38,0.3438333333333333,4.1
29,2002-10-16T05:00:00Z,2002-10-16T09:42:00Z,2002-10-16T07:21:00Z,0.363,0.3325,4.7
30,2002-10-17T06:24:00Z,2002-10-17T07:24:00Z,2002-10-17T06:54:00Z,0.304,0.29736363636363633,1
31,2002-10-19T19:24:00Z,2002-10-19T21:54:00Z,2002-10-19T20:39:00Z,0.315,0.3046923076923077,2.5
32,2003-01-03T22:00:00Z,2003-01-03T23:54:00Z,2003-01-03T22:57:00Z,0.309,0.3024,1.9
33,2003-03-20T11:00:00Z,2003-03-20T12:00:00Z,2003-03-20T11:30:00Z,0.3,0.2947272727272727,1
34,2003-03-20T22:18:00Z,2003-03-21T02:30:00Z,2003-03-21T00:24:00Z,0.401,0.3478139534883721,4.2
35,2003-03-21T08:24:00Z,2003-03-21T14:12:00Z,2003-03-21T11:18:00Z,0.449,0.38593220338983053,5.8
36,2003-04-11T13:42:00Z,2003-04-11T18:42:00Z,2003-04-11T16:12:00Z,0.388,0.3503529411764706,5
37,2003-05-16T09:48:00Z,2003-05-16T10:48:00Z,2003-05-16T10:18:00Z,0.323,0.30972727272727274,1
38,2003-05-18T10:18:00Z,2003-05-18T13:06:00Z,2003-05-18T11:42:00Z,0.346,0.3263448275862069,2.8
39,2003-06-17T12:30:00Z,2003-06-17T13:00:00Z,2003-06-17T12:45:00Z,0.294,0.29216666666666663,0.5
40,2003-07-03T10:12:00Z,2003-07-03T14:12:00Z,2003-07-03T12:12:00Z,0.382,0.3483414634146341,4
41,2003-07-11T07:42:00Z,2003-07-11T09:06:00Z,2003-07-11T08:24:00Z,0.312,0.3038,1.4
